CustomerId,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds
1,58,635,88,546,172,88,88,1529,1441
2,38,11,1,6,2,1,6,21,15
3,26,426,49,127,111,21,42,734,692
4,26,11,4,20,10,3,5,48,43
5,94,173,43,118,46,27,15,407,392
6,16,520,42,98,0,42,14,702,688
7,34,235,65,164,50,49,27,563,536
8,32,76,10,56,3,1,23,146,123
9,19,14,0,24,3,3,2,44,42
10,68,28,0,6,1,1,13,36,23
11,59,6,16,11,11,1,16,45,29
12,82,194,61,480,225,112,30,1072,1042
13,53,233,2,53,3,5,14,296,282
14,38,3,14,17,6,1,5,41,36
15,23,1006,22,115,59,68,45,1270,1225
16,51,53,5,19,2,13,4,92,88
17,20,84,5,38,150,12,28,289,261
18,91,1012,80,498,0,16,176,1606,1430
19,86,4,17,19,30,24,39,94,55
20,41,86,2,73,69,38,48,268,220
21,42,1,1,1725,1,1,1,1729,1728
22,63,867,0,86,0,0,19,953,934
23,0,384,0,102,21,32,5,539,534
24,69,270,3,27,39,6,99,345,246
25,89,6,4,25,15,12,13,62,49
26,4,173,4,30,3,6,41,216,175
27,26,36,2,42,20,21,10,121,111
28,96,684,100,801,21,66,0,1672,1672
29,34,8,4,10,2,2,4,26,22
30,56,112,17,44,34,22,89,229,140
31,31,110,0,5,2,0,3,117,114
32,8,96,12,96,33,22,43,259,216
33,4,482,34,471,119,68,22,1174,1152
34,55,40,0,19,2,1,3,62,59
35,37,702,17,151,0,8,35,878,843
36,76,6,3,14,15,7,36,45,9
37,99,55,0,6,2,0,4,63,59
38,53,437,8,206,160,49,42,860,818
39,3,421,76,536,82,178,102,1293,1191
40,88,13,1,29,3,0,7,46,39
41,4,9,0,6,3,1,3,19,16
42,19,3,1,10,3,2,12,19,7
43,72,123,164,266,227,30,174,810,636
44,24,3,18,14,15,22,50,72,22
45,92,13,6,15,3,5,13,42,29
46,39,826,50,317,50,38,38,1281,1243
47,29,245,19,125,37,67,14,493,479
48,2,650,37,780,27,167,32,1661,1629
49,54,12,6,20,30,1,3,69,66
50,54,510,120,550,156,40,241,1376,1135
51,57,328,9,124,12,24,109,497,388
52,55,984,51,432,180,120,190,1767,1577
53,30,295,35,482,121,120,40,1053,1013
54,31,13,0,8,2,1,5,24,19
55,63,447,0,28,0,0,43,475,432
56,12,712,26,538,69,13,80,1358,1278
57,18,452,18,102,16,18,6,606,600
58,26,523,7,134,37,14,169,715,546
59,8,546,0,48,0,6,6,600,594
60,29,398,40,367,119,122,30,1046,1016
61,75,1,3,6,3,6,15,19,4
62,0,10,0,1,0,0,0,11,11
63,19,688,14,309,201,24,38,1236,1198
64,4,247,49,159,7,82,109,544,435
65,90,856,59,487,58,29,73,1489,1416
66,1,496,36,460,189,60,12,1241,1229
67,29,258,107,291,84,37,86,777,691
68,88,565,6,65,0,6,19,642,623
69,58,14,10,13,4,15,9,56,47
70,68,2,1,6,2,1,1,12,11
71,34,721,111,925,97,18,18,1872,1854
72,40,1032,105,779,137,105,51,2158,2107
73,12,1,0,5,0,3,9,9,0
74,9,577,0,64,0,0,51,641,590
75,87,64,4,68,7,5,17,148,131
76,5,4,1,5,2,0,4,12,8
77,87,25,5,19,7,0,23,56,33
78,56,112,17,44,34,22,89,229,140
79,18,163,23,424,27,65,76,702,626
80,95,17,8,14,10,4,3,53,50
81,48,130,0,16,0,0,5,146,141
82,3,292,6,37,0,3,34,338,304
83,70,350,60,568,110,133,145,1221,1076
84,79,135,9,39,4,0,7,187,180
85,69,15,2,10,0,1,4,28,24
86,84,27,2,14,0,0,0,43,43
87,30,5,3,11,12,5,9,36,27
88,72,505,0,26,0,0,75,531,456
89,37,51,2,7,0,1,2,61,59
90,44,207,26,447,75,0,223,755,532
91,32,135,46,92,65,61,11,399,388
92,0,53,1,5,2,1,10,62,52
93,43,41,1,6,2,0,5,50,45
94,59,386,172,183,185,132,111,1058,947
95,68,562,81,276,80,40,81,1039,958
96,35,217,76,690,50,26,38,1059,1021
97,94,1,3,6,10,0,9,20,11
98,15,144,1,32,2,1,7,180,173
99,56,295,106,271,75,98,65,845,780
100,17,76,3,31,4,4,27,118,91
101,18,454,194,106,31,22,43,807,764
102,46,425,115,292,23,35,79,890,811
103,40,1332,17,311,23,51,86,1734,1648
104,27,527,0,21,0,0,60,548,488
105,95,490,44,125,29,20,22,708,686
106,19,378,0,101,0,0,72,479,407
107,27,64,1,21,0,1,27,87,60
108,25,547,99,812,151,82,33,1691,1658
109,74,47,90,94,123,103,120,457,337
110,85,12,5,25,0,9,30,51,21
111,37,1,6,7,11,5,3,30,27
112,65,320,48,133,39,72,48,612,564
113,13,34,3,29,0,4,10,70,60
114,63,9,0,7,3,4,7,23,16
115,83,17,0,14,7,3,2,41,39
116,69,722,27,102,44,72,168,967,799
117,87,162,33,124,40,28,172,387,215
118,37,450,133,951,173,0,216,1707,1491
119,51,70,0,16,0,0,4,86,82
120,72,492,19,110,16,12,12,649,637
121,10,120,58,73,65,89,58,405,347
122,42,534,5,47,0,5,41,591,550
123,10,236,106,189,23,41,130,595,465
124,51,220,0,33,3,0,23,256,233
125,21,796,14,590,38,44,0,1482,1482
126,31,0,1,3,10,6,9,20,11
127,61,53,1,34,2,0,16,90,74
128,37,15,0,8,4,2,20,29,9
129,74,17,1,12,3,1,4,34,30
130,46,962,61,921,52,61,20,2057,2037
131,4,738,0,232,13,20,50,1003,953
132,73,399,28,756,36,40,126,1259,1133
133,47,614,16,132,43,33,33,838,805
134,13,32,34,41,73,16,116,196,80
135,36,598,16,141,32,41,49,828,779
136,47,2,1,18,20,11,16,52,36
137,49,6,1,10,0,1,4,18,14
